player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,stints_per_game
2058,-8,1439,97,-0.005559416261292564,
2059,-56,2817,225,-0.01987930422435215,
2062,-46,1371,103,-0.03355215171407731,
2064,27,1440,103,0.01875,
2066,13,614,52,0.021172638436482084,
2067,-14,869,78,-0.01611047180667434,
2068,12,653,60,0.018376722817764167,
2069,-51,1504,106,-0.0339095744680851,
2072,-29,302,32,-0.09602649006622517,
208,-3,4846,338,-0.0006190672719768881,
2084,-12,530,38,-0.022641509433962263,
209,-64,2357,154,-0.027153160797624098,
2091,60,3527,243,0.01701162461015027,
2092,-14,694,55,-0.020172910662824207,
21,-37,1727,131,-0.021424435437174292,
210,6,2734,188,0.0021945866861741038,
2101,74,1706,134,0.04337631887456037,
2106,-32,2752,198,-0.011627906976744186,
213,147,4752,295,0.030934343434343436,
2130,12,2040,142,0.0058823529411764705,
216,26,2970,180,0.008754208754208754,
219,-23,1398,112,-0.016452074391988557,
221,-51,3550,230,-0.01436619718309859,
224,21,3163,228,0.006639266519127411,
228,-43,1558,118,-0.027599486521181,
236,42,3053,210,0.013756960366852276,
238,-8,2662,203,-0.003005259203606311,
239,12,228,13,0.05263157894736842,
243,47,3348,292,0.014038231780167264,
248,25,3501,272,0.007140816909454442,
251,38,4041,311,0.009403612967087355,
252,119,3872,248,0.030733471074380167,
255,-1,781,66,-0.0012804097311139564,
258,-95,3142,211,-0.030235518777848504,
26,11,338,24,0.03254437869822485,
270,3,4307,265,0.0006965405154399814,
271,2,3364,255,0.0005945303210463733,
275,116,5324,381,0.021788129226145755,
278,73,2888,212,0.02527700831024931,
28,-53,1512,107,-0.03505291005291005,
280,26,454,31,0.05726872246696035,
281,-6,1286,103,-0.004665629860031105,
283,43,4976,379,0.008641479099678457,
29,-44,1396,96,-0.03151862464183381,
296,-6,4472,300,-0.0013416815742397137,
299,2,4427,313,0.00045177320984865596,
3,9,3134,196,0.002871729419272495,
302,-27,2201,146,-0.01226715129486597,
304,96,4497,313,0.02134756504336224,
317,9,2438,169,0.0036915504511894994,
323,13,1651,111,0.007874015748031496,
324,-114,3415,253,-0.03338213762811127,
330,36,1256,107,0.028662420382165606,
339,14,1260,87,0.011111111111111112,
344,4,422,34,0.009478672985781991,
345,-24,839,85,-0.028605482717520857,
349,162,5234,336,0.030951471150171952,
353,-73,5258,359,-0.013883605933815138,
361,114,4424,301,0.025768535262206148,
363,5,2905,217,0.0017211703958691911,
365,-18,3283,271,-0.005482790130977765,
369,89,3234,228,0.027520098948670378,
371,-32,233,12,-0.13733905579399142,
375,28,2294,163,0.012205754141238012,
