player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60
15,1985,-4,222,15,-0.018018018018018018
15,2032,33,1953,144,0.016897081413210446
15,2039,17,1276,89,0.013322884012539185
15,2047,32,1131,83,0.028293545534924844
15,399,10,2073,154,0.00482392667631452
15,400,18,422,29,0.04265402843601896
15,976,7,584,36,0.011986301369863013
1500,1724,-31,574,45,-0.05400696864111498
1500,1736,-27,1723,125,-0.01567034242600116
1500,1802,-21,539,40,-0.03896103896103896
1500,1882,-85,4627,320,-0.01837043440674303
1500,1897,-36,3486,236,-0.010327022375215147
1500,1913,-60,3211,233,-0.018685767673621925
1500,2033,-87,2436,190,-0.03571428571428571
1500,2037,0,773,56,0.0
1500,2062,-31,1042,82,-0.029750479846449136
1500,2064,29,1171,79,0.024765157984628524
1500,697,-41,1098,86,-0.037340619307832425
1501,1747,-49,580,60,-0.08448275862068966
1501,2038,23,556,34,0.04136690647482014
1501,208,3,3723,261,0.0008058017727639
1501,281,-6,920,76,-0.006521739130434782
1501,283,24,4118,312,0.005828071879553181
1501,299,8,3242,228,0.0024676125848241827
1501,679,-37,2139,158,-0.01729780271154745
1501,760,-12,506,37,-0.023715415019762844
1501,911,-102,2009,146,-0.0507715281234445
1501,951,56,1349,94,0.04151223128243143
1501,998,-21,524,38,-0.04007633587786259
1502,1504,-15,539,34,-0.027829313543599257
1502,1531,-34,923,67,-0.03683640303358613
1502,168,9,1437,98,0.006263048016701462
1502,1712,-12,1716,110,-0.006993006993006993
1502,1716,-7,1783,117,-0.003925967470555244
1502,2084,-4,282,19,-0.014184397163120567
1502,219,-17,747,65,-0.022757697456492636
1502,228,-22,859,69,-0.025611175785797437
1502,302,11,714,48,0.015406162464985995
1502,682,8,260,21,0.03076923076923077
1502,904,22,334,26,0.0658682634730539
1503,1607,7,592,55,0.011824324324324325
1503,1720,45,2336,163,0.019263698630136987
1503,1727,31,2832,204,0.010946327683615819
1503,2034,-80,2459,188,-0.032533550223668155
1503,255,8,624,50,0.01282051282051282
1503,353,-24,3751,247,-0.006398293788323114
1503,386,32,915,63,0.034972677595628415
1503,42,-37,1044,75,-0.035440613026819924
1503,448,17,2138,129,0.007951356407857811
1503,680,-17,1259,82,-0.013502779984114376
1504,1531,-12,409,32,-0.029339853300733496
1504,168,-27,801,60,-0.033707865168539325
1504,1712,-25,489,37,-0.05112474437627812
1504,1716,-13,462,34,-0.02813852813852814
1505,1711,-23,1735,99,-0.013256484149855908
1505,1721,-64,1318,81,-0.048558421851289835
1505,1899,-28,1728,104,-0.016203703703703703
1505,426,-10,558,47,-0.017921146953405017
1505,45,-11,907,69,-0.012127894156560088
1505,686,-2,1015,64,-0.0019704433497536944
1506,1733,-22,1430,108,-0.015384615384615385
1506,1886,-37,1478,121,-0.02503382949932341
1506,1902,31,761,63,0.040735873850197106
1506,365,2,1861,153,0.0010746910263299302
1506,397,-53,2753,198,-0.01925172539048311
1506,440,13,1224,95,0.010620915032679739
1506,64,16,954,68,0.016771488469601678
1506,696,-29,1011,62,-0.028684470820969338
1506,979,-9,392,33,-0.02295918367346939
1507,1956,-15,271,21,-0.055350553505535055
1507,198,-10,2435,174,-0.004106776180698152
1507,251,49,3244,227,0.015104808877928484
1507,422,23,1779,123,0.012928611579539067
1507,764,24,505,33,0.047524752475247525
1507,990,-7,635,49,-0.011023622047244094
1508,165,-11,2334,129,-0.004712939160239932
1508,1749,4,2334,150,0.001713796058269066
1508,1883,4,1399,77,0.0028591851322373124
1508,1903,2,521,33,0.003838771593090211
1508,2044,-4,426,31,-0.009389671361502348
1508,672,25,733,58,0.034106412005457026
1508,983,-3,463,34,-0.0064794816414686825
1509,1749,18,236,15,0.07627118644067797
1513,1517,19,1025,79,0.018536585365853658
1513,1715,53,1637,123,0.032376298106292
1513,185,82,1847,135,0.04439631835408771
1513,2045,45,528,44,0.08522727272727272
1513,468,24,1637,123,0.014660965180207697
1513,57,43,1454,114,0.029573590096286108
1513,978,0,676,55,0.0
1517,185,8,1730,112,0.004624277456647399
1517,468,2,1512,104,0.0013227513227513227
1517,57,1,1547,99,0.0006464124111182935
1517,978,-1,1038,67,-0.0009633911368015414
1521,178,56,1880,116,0.029787234042553193
1521,1900,35,1822,133,0.019209659714599342
1521,2052,68,1483,100,0.045853000674308836
1521,252,90,3538,232,0.025438100621820236
1521,304,60,4060,282,0.014778325123152709
1521,317,-18,2161,147,-0.008329477093937991
1521,330,7,926,82,0.00755939524838013
1521,731,15,761,57,0.01971090670170828
1521,935,13,374,29,0.034759358288770054
1531,168,-9,718,60,-0.012534818941504178
1531,1712,-21,1112,89,-0.018884892086330936
1531,1716,-4,886,71,-0.004514672686230248
1531,2084,-4,322,20,-0.012422360248447204
1531,219,-5,408,34,-0.012254901960784314
1531,228,-13,371,27,-0.03504043126684636
1531,302,0,250,23,0.0
1531,956,-6,364,34,-0.016483516483516484
1533,1544,0,1776,142,0.0
1533,1683,-2,2070,156,-0.000966183574879227
1533,1728,-45,1020,67,-0.04411764705882353
1533,1891,-21,1681,107,-0.012492563950029744
1533,1898,0,407,34,0.0
1533,2035,-22,1369,104,-0.016070124178232285
1533,2069,-25,517,30,-0.048355899419729204
1533,673,7,1071,75,0.006535947712418301
