home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1000', '1509', '165', '1749', '672')","('1051', '111', '1497', '1887', '210')",4,0,15,1,4,16.0
"('1000', '1509', '165', '1749', '672')","('1051', '1497', '1887', '210', '324')",2,0,9,1,2,13.333333333333332
"('1000', '165', '1749', '1883', '1903')","('133', '1884', '1944', '922', '934')",19,10,49,2,9,11.020408163265307
"('1000', '165', '1749', '1903', '2044')","('1890', '2091', '467', '915', '916')",12,17,97,5,-5,-3.092783505154639
"('1000', '165', '1749', '1903', '672')","('166', '1731', '270', '296', '323')",12,9,79,3,3,2.278481012658228
"('1000', '165', '1749', '1903', '983')","('109', '166', '1731', '296', '323')",2,2,15,2,0,0.0
"('1000', '165', '1749', '2044', '672')","('1890', '2091', '361', '467', '916')",5,7,22,1,-2,-5.454545454545455
"('1000', '165', '1749', '2044', '672')","('1890', '2091', '467', '916', '960')",7,6,51,4,1,1.1764705882352942
"('1000', '165', '1749', '435', '672')","('111', '1497', '1725', '1887', '210')",2,5,24,1,-3,-7.5
"('1000', '165', '1903', '2044', '983')","('133', '136', '1884', '469', '934')",5,4,18,2,1,3.333333333333333
"('1000', '165', '1903', '2044', '983')","('133', '1884', '469', '922', '934')",1,0,17,1,1,3.5294117647058822
"('1000', '165', '1903', '672', '983')","('109', '166', '1731', '296', '323')",6,11,24,5,-5,-12.5
"('1000', '1749', '1883', '1903', '435')","('1500', '1736', '1882', '1913', '2033')",1,0,10,1,1,6.0
"('1000', '1749', '1883', '1903', '672')","('1434', '1500', '1736', '2033', '2062')",0,0,4,1,0,0.0
"('1000', '1749', '1883', '1903', '672')","('1434', '1882', '1897', '2062', '697')",14,14,44,1,0,0.0
"('1000', '1749', '1903', '2044', '672')","('1890', '467', '915', '916', '960')",9,7,36,1,2,3.333333333333333
"('1000', '1749', '1903', '2044', '983')","('109', '166', '1731', '296', '323')",1,1,9,1,0,0.0
"('1000', '1749', '1903', '435', '672')","('124', '1444', '1513', '1715', '468')",2,4,15,1,-2,-8.0
"('1000', '1749', '1903', '435', '672')","('124', '1513', '1715', '185', '468')",6,4,28,1,2,4.285714285714286
"('1000', '1749', '1903', '435', '672')","('124', '1513', '1715', '185', '57')",11,5,27,3,6,13.333333333333332
"('1000', '1749', '2061', '435', '672')","('1897', '2033', '2037', '2063', '697')",9,0,27,1,9,20.0
"('1005', '1508', '1509', '165', '1749')","('1497', '1725', '210', '324', '417')",0,2,6,1,-2,-20.0
"('1005', '1509', '165', '1749', '672')","('1051', '1497', '210', '324', '417')",4,4,31,3,0,0.0
"('1005', '1509', '165', '1749', '672')","('1497', '1725', '210', '324', '417')",0,0,2,1,0,0.0
"('1005', '165', '1749', '1883', '2044')","('111', '1734', '1887', '210', '324')",8,6,45,3,2,2.666666666666667
"('1005', '165', '1749', '1883', '2044')","('111', '1734', '1887', '210', '417')",9,13,-114,3,-4,2.1052631578947367
"('1005', '165', '1749', '1883', '2044')","('111', '1887', '210', '417', '708')",4,5,10,1,-1,-6.0
"('1023', '121', '1739', '1740', '1741')","('109', '166', '270', '296', '406')",-91,-82,15,1,-9,-36.0
"('1023', '121', '1739', '1740', '2106')","('1717', '1761', '714', '762', '959')",1,2,8,2,-1,-7.5
"('1023', '121', '1739', '1740', '2106')","('1717', '1761', '762', '93', '959')",3,0,6,1,3,30.0
"('1023', '121', '1739', '1740', '2106')","('1717', '714', '762', '93', '959')",2,9,17,1,-7,-24.705882352941174
"('1023', '121', '1739', '1740', '442')","('1065', '164', '275', '84', '913')",15,12,87,2,3,2.0689655172413794
"('1023', '121', '1739', '1740', '442')","('1065', '164', '703', '779', '84')",2,0,6,1,2,20.0
"('1023', '121', '1739', '1740', '442')","('164', '275', '369', '703', '779')",3,6,40,3,-3,-4.5
"('1023', '121', '1739', '1740', '442')","('164', '275', '369', '84', '913')",4,2,15,1,2,8.0
"('1023', '121', '1739', '1740', '442')","('1717', '1761', '714', '762', '959')",8,9,43,1,-1,-1.3953488372093024
"('1023', '121', '1739', '1740', '442')","('1717', '458', '714', '93', '959')",8,4,43,3,4,5.5813953488372094
"('1023', '121', '1739', '1740', '442')","('1761', '363', '458', '714', '762')",0,0,7,1,0,0.0
"('1023', '121', '1739', '1740', '442')","('1761', '363', '714', '762', '959')",2,0,3,1,2,40.0
"('1023', '121', '1739', '1740', '442')","('363', '458', '714', '762', '93')",0,0,1,1,0,0.0
"('1023', '121', '1739', '1740', '442')","('363', '458', '714', '93', '959')",6,0,13,1,6,27.692307692307693
"('1023', '121', '1739', '1741', '2046')","('15', '1709', '1894', '2032', '2039')",0,0,5,1,0,0.0
"('1023', '121', '1739', '2046', '2106')","('1761', '2059', '458', '762', '93')",8,4,23,2,4,10.434782608695652
"('1023', '121', '1739', '2046', '2106')","('1761', '2059', '762', '93', '959')",0,0,6,2,0,0.0
"('1023', '121', '1739', '2046', '2106')","('1761', '714', '762', '93', '959')",2,2,14,1,0,0.0
"('1023', '121', '1739', '2046', '2106')","('2059', '458', '714', '762', '93')",0,1,3,1,-1,-20.0
"('1023', '121', '1739', '2046', '2106')","('2059', '458', '762', '919', '93')",1,2,5,1,-1,-12.0
"('1023', '121', '1739', '2106', '452')","('1717', '714', '762', '93', '959')",0,2,15,2,-2,-8.0
"('1023', '121', '1740', '1742', '2046')","('1110', '123', '1899', '426', '702')",3,4,24,1,-1,-2.5
"('1023', '121', '1740', '1742', '2046')","('1110', '1711', '1721', '1899', '702')",3,0,15,1,3,12.0
"('1023', '121', '1740', '1742', '452')","('1065', '164', '2068', '280', '779')",0,0,14,1,0,0.0
"('1023', '121', '1740', '1742', '452')","('1065', '164', '2068', '779', '948')",3,2,14,2,1,4.285714285714286
"('1023', '121', '1740', '1742', '452')","('1065', '164', '275', '779', '948')",5,0,16,1,5,18.75
"('1023', '121', '1740', '2106', '699')","('1717', '714', '762', '93', '959')",3,6,27,1,-3,-6.666666666666666
"('1023', '121', '1740', '2106', '699')","('1761', '2059', '762', '93', '959')",11,17,57,2,-6,-6.315789473684211
"('1023', '121', '1740', '2106', '699')","('2059', '458', '762', '93', '959')",2,8,41,4,-6,-8.780487804878048
"('1023', '121', '1740', '442', '699')","('164', '275', '369', '703', '779')",6,10,35,1,-4,-6.857142857142857
"('1023', '121', '1741', '2046', '452')","('15', '1709', '1885', '2032', '2039')",4,10,26,1,-6,-13.846153846153847
"('1023', '121', '1741', '2046', '452')","('15', '1709', '1885', '2039', '399')",4,0,18,2,4,13.333333333333332
"('1023', '121', '2046', '2106', '699')","('2059', '458', '762', '919', '93')",1,0,5,1,1,12.0
"('1023', '1739', '1740', '1741', '452')","('109', '166', '270', '296', '406')",14,13,46,1,1,1.3043478260869565
"('1023', '1739', '1740', '1742', '2046')","('1110', '145', '1721', '426', '702')",0,1,-50,3,-1,1.2
