player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
1607,690,17,370,27,0.05,Troy Hudson,Don Reid,Troy Hudson + Don Reid
121,442,17,331,21,0.05,Patrick Ewing,Pervis Ellison,Patrick Ewing + Pervis Ellison
103,1073,17,319,32,0.05,Todd Day,Reggie Slater,Todd Day + Reggie Slater
53,915,16,318,34,0.05,Mario Elie,Rodney Rogers,Mario Elie + Rodney Rogers
1737,1908,15,313,25,0.05,Nazr Mohammed,Jumaine Jones,Nazr Mohammed + Jumaine Jones
1916,782,16,308,24,0.05,Calvin Booth,Mitch Richmond,Calvin Booth + Mitch Richmond
1904,216,15,306,16,0.05,Devean George,Brian Shaw,Devean George + Brian Shaw
2038,951,16,293,18,0.05,Joel Przybilla,Ray Allen,Joel Przybilla + Ray Allen
76,961,13,282,22,0.05,Cedric Ceballos,John Wallace,Cedric Ceballos + John Wallace
1032,951,13,267,20,0.05,Darvin Ham,Ray Allen,Darvin Ham + Ray Allen
198,764,13,264,24,0.05,Danny Ferry,David Robinson,Danny Ferry + David Robinson
2068,369,13,244,22,0.05,Lavor Postell,Charlie Ward,Lavor Postell + Charlie Ward
2045,468,12,233,18,0.05,Hedo Turkoglu,Jon Barry,Hedo Turkoglu + Jon Barry
2054,2101,12,222,13,0.05,Jake Tsakalidis,Paul McPherson,Jake Tsakalidis + Paul McPherson
213,349,161,4092,246,0.04,Antonio Davis,Mark Jackson,Antonio Davis + Mark Jackson
1713,213,166,3758,228,0.04,Vince Carter,Antonio Davis,Vince Carter + Antonio Davis
2050,349,108,2593,187,0.04,Morris Peterson,Mark Jackson,Morris Peterson + Mark Jackson
278,739,81,2231,149,0.04,Stacey Augmon,Rasheed Wallace,Stacey Augmon + Rasheed Wallace
1739,452,78,2171,146,0.04,Ruben Patterson,Vin Baker,Ruben Patterson + Vin Baker
120,278,89,2051,143,0.04,Steven Smith,Stacey Augmon,Steven Smith + Stacey Augmon
178,304,84,1957,115,0.04,Olden Polynice,John Stockton,Olden Polynice + John Stockton
1513,185,82,1847,135,0.04,Scot Pollard,Chris Webber,Scot Pollard + Chris Webber
2048,695,75,1822,140,0.04,Jamaal Magloire,Eldridge Recasner,Jamaal Magloire + Eldridge Recasner
1890,201,61,1723,124,0.04,Shawn Marion,Chris Dudley,Shawn Marion + Chris Dudley
1900,252,62,1626,106,0.04,Quincy Lewis,Karl Malone,Quincy Lewis + Karl Malone
349,891,68,1585,98,0.04,Mark Jackson,Charles Oakley,Mark Jackson + Charles Oakley
1562,1751,69,1557,114,0.04,Gerard King,Jahidi White,Gerard King + Jahidi White
1538,1892,54,1498,122,0.04,Cedric Henderson,Trajan Langdon,Cedric Henderson + Trajan Langdon
1711,686,54,1474,91,0.04,Raef LaFrentz,Antonio McDyess,Raef LaFrentz + Antonio McDyess
208,951,53,1455,95,0.04,Sam Cassell,Ray Allen,Sam Cassell + Ray Allen
1501,951,56,1349,94,0.04,Tim Thomas,Ray Allen,Tim Thomas + Ray Allen
1751,436,49,1328,78,0.04,Jahidi White,Juwan Howard,Jahidi White + Juwan Howard
1888,685,52,1276,100,0.04,Richard Hamilton,Cherokee Parks,Richard Hamilton + Cherokee Parks
1902,365,55,1254,101,0.04,Jeff Foster,Derrick McKey,Jeff Foster + Derrick McKey
1902,397,43,1159,91,0.04,Jeff Foster,Reggie Miller,Jeff Foster + Reggie Miller
